Frequency,Magnitude,phase
9.77E+01,(-6.27513944323965e-01dB,-2.15179432209252e+01°)
1.00E+02,(-6.55515352159562e-01dB,-2.19809304323915e+01°)
1.02E+02,(-6.84697913270981e-01dB,-2.24522451662570e+01°)
1.05E+02,(-7.15105689220658e-01dB,-2.29319357072660e+01°)
1.07E+02,(-7.46783924010375e-01dB,-2.34200441219778e+01°)
1.10E+02,(-7.79779040839818e-01dB,-2.39166058778497e+01°)
1.12E+02,(-8.14138636052377e-01dB,-2.44216494598853e+01°)
1.15E+02,(-8.49911470169419e-01dB,-2.49351959865911e+01°)
1.17E+02,(-8.87147455933542e-01dB,-2.54572588271461e+01°)
1.20E+02,(-9.25897643303796e-01dB,-2.59878432218610e+01°)
1.23E+02,(-9.66214201372225e-01dB,-2.65269459081682e+01°)
1.26E+02,(-1.00815039720124e+00dB,-2.70745547545425e+01°)
1.29E+02,(-1.05176057161542e+00dB,-2.76306484049090e+01°)
1.32E+02,(-1.09710011201977e+00dB,-2.81951959362364e+01°)
1.35E+02,(-1.14422542235882e+00dB,-2.87681565321453e+01°)
1.38E+02,(-1.19319389037771e+00dB,-2.93494791754753e+01°)
1.41E+02,(-1.24406385239737e+00dB,-2.99391023628516e+01°)
1.45E+02,(-1.29689455587101e+00dB,-3.05369538443615e+01°)
1.48E+02,(-1.35174612004784e+00dB,-3.11429503915015e+01°)
1.51E+02,(-1.40867949513316e+00dB,-3.17569975965704e+01°)
1.55E+02,(-1.46775642039990e+00dB,-3.23789897066706e+01°)
1.58E+02,(-1.52903938177625e+00dB,-3.30088094954282e+01°)
1.62E+02,(-1.59259156950626e+00dB,-3.36463281754562e+01°)
1.66E+02,(-1.65847683655464e+00dB,-3.42914053544547e+01°)
1.70E+02,(-1.72675965850351e+00dB,-3.49438890376741e+01°)
1.74E+02,(-1.79750509576636e+00dB,-3.56036156792529e+01°)
1.78E+02,(-1.87077875902274e+00dB,-3.62704102846848e+01°)
1.82E+02,(-1.94664677885605e+00dB,-3.69440865663719e+01°)
1.86E+02,(-2.02517578065477e+00dB,-3.76244471538776e+01°)
1.91E+02,(-2.10643286591494e+00dB,-3.83112838601103e+01°)
1.95E+02,(-2.19048560115810e+00dB,-3.90043780042515e+01°)
2.00E+02,(-2.27740201575353e+00dB,-3.97035007917882e+01°)
2.04E+02,(-2.36725061000660e+00dB,-4.04084137515264e+01°)
2.09E+02,(-2.46010037494669e+00dB,-4.11188692289606e+01°)
2.14E+02,(-2.55602082531811e+00dB,-4.18346109348480e+01°)
2.19E+02,(-2.65508204734655e+00dB,-4.25553745473076e+01°)
2.24E+02,(-2.75735476292257e+00dB,-4.32808883652268e+01°)
2.29E+02,(-2.86291041191373e+00dB,-4.40108740102311e+01°)
2.34E+02,(-2.97182125438926e+00dB,-4.47450471739554e+01°)
2.40E+02,(-3.08416049461812e+00dB,-4.54831184068637e+01°)
2.45E+02,(-3.20000242878477e+00dB,-4.62247939444020e+01°)
2.51E+02,(-3.31942261846043e+00dB,-4.69697765658442e+01°)
2.57E+02,(-3.44249809197378e+00dB,-4.77177664808145e+01°)
2.63E+02,(-3.56930757594913e+00dB,-4.84684622381465e+01°)
2.69E+02,(-3.69993175942553e+00dB,-4.92215616514706e+01°)
2.75E+02,(-3.83445359314422e+00dB,-4.99767627357252e+01°)
2.82E+02,(-3.97295862679949e+00dB,-5.07337646486482e+01°)
2.88E+02,(-4.11553538729788e+00dB,-5.14922686312462e+01°)
2.95E+02,(-4.26227580137091e+00dB,-5.22519789412456e+01°)
3.02E+02,(-4.41327566624787e+00dB,-5.30126037736083e+01°)
3.09E+02,(-4.56863517252917e+00dB,-5.37738561623452e+01°)
3.16E+02,(-4.72845948392114e+00dB,-5.45354548580760e+01°)
3.24E+02,(-4.89285937911679e+00dB,-5.52971251760603e+01°)
3.31E+02,(-5.06195196185268e+00dB,-5.60585998097646e+01°)
3.39E+02,(-5.23586144606326e+00dB,-5.68196196054105e+01°)
3.47E+02,(-5.41472002411760e+00dB,-5.75799342933854e+01°)
3.55E+02,(-5.59866882739387e+00dB,-5.83393031728592e+01°)
3.63E+02,(-5.78785898996295e+00dB,-5.90974957464473e+01°)
3.72E+02,(-5.98245282796575e+00dB,-5.98542923022732e+01°)
3.80E+02,(-6.18262514943737e+00dB,-6.06094844413101e+01°)
3.89E+02,(-6.38856471193288e+00dB,-6.13628755484070e+01°)
3.98E+02,(-6.60047584843575e+00dB,-6.21142812059306e+01°)
4.07E+02,(-6.81858028579925e+00dB,-6.28635295494625e+01°)
4.17E+02,(-7.04311918453051e+00dB,-6.36104615654836e+01°)
4.27E+02,(-7.27435543426319e+00dB,-6.43549313314422e+01°)
4.37E+02,(-7.51257624601605e+00dB,-6.50968061990392e+01°)
4.47E+02,(-7.75809609060664e+00dB,-6.58359669219622e+01°)
4.57E+02,(-8.01126004277539e+00dB,-6.65723077296612e+01°)
4.68E+02,(-8.27244760318728e+00dB,-6.73057363490822e+01°)
4.79E+02,(-8.54207708618579e+00dB,-6.80361739765471e+01°)
4.90E+02,(-8.82061068085786e+00dB,-6.87635552022082e+01°)
5.01E+02,(-9.10856031780164e+00dB,-6.94878278896887e+01°)
5.13E+02,(-9.40649450553818e+00dB,-7.02089530136764e+01°)
5.25E+02,(-9.71504634089349e+00dB,-7.09269044583331e+01°)
5.37E+02,(-1.00349229497870e+01dB,-7.16416687794568e+01°)
5.50E+02,(-1.03669166826765e+01dB,-7.23532449333569e+01°)
5.62E+02,(-1.07119184779680e+01dB,-7.30616439753970e+01°)
5.75E+02,(-1.10709339247969e+01dB,-7.37668887311231e+01°)
5.89E+02,(-1.14451027148516e+01dB,-7.44690134428276e+01°)
6.03E+02,(-1.18357223873863e+01dB,-7.51680633943073e+01°)
6.17E+02,(-1.22442775657919e+01dB,-7.58640945164621e+01°)
6.31E+02,(-1.26724762930468e+01dB,-7.65571729762472e+01°)
6.46E+02,(-1.31222956499996e+01dB,-7.72473747513471e+01°)
6.61E+02,(-1.35960396662790e+01dB,-7.79347851927794e+01°)
6.76E+02,(-1.40964137368390e+01dB,-7.86194985774706e+01°)
6.92E+02,(-1.46266215435254e+01dB,-7.93016176526718e+01°)
7.08E+02,(-1.51904931892260e+01dB,-7.99812531739054e+01°)
7.24E+02,(-1.57926574543703e+01dB,-8.06585234379572e+01°)
7.41E+02,(-1.64387777781737e+01dB,-8.13335538122506e+01°)
7.59E+02,(-1.71358825442913e+01dB,-8.20064762617666e+01°)
7.76E+02,(-1.78928388689293e+01dB,-8.26774288745061e+01°)
7.94E+02,(-1.87210519077766e+01dB,-8.33465553863258e+01°)
8.13E+02,(-1.96355321963419e+01dB,-8.40140047058280e+01°)
8.32E+02,(-2.06565911090735e+01dB,-8.46799304398363e+01°)
8.51E+02,(-2.18126679334725e+01dB,-8.53444904198546e+01°)
8.71E+02,(-2.31453365721235e+01dB,-8.60078462297802e+01°)
8.91E+02,(-2.47188825058460e+01dB,-8.66701627350285e+01°)
9.12E+02,(-2.66405989269114e+01dB,-8.73316076131229e+01°)
9.33E+02,(-2.91104739238935e+01dB,-8.79923508857142e+01°)
9.55E+02,(-3.25730932817473e+01dB,-8.86525644519142e+01°)
9.77E+02,(-3.84162169148345e+01dB,-8.93124216227619e+01°)
1.00E+03,(-6.62493281112204e+01dB,-8.99720966565897e+01°)
1.02E+03,(-3.91515271040602e+01dB,8.93682357049717e+01°)
1.05E+03,(-3.29406322994907e+01dB,8.87084007006934e+01°)
1.07E+03,(-2.93555331827376e+01dB,8.80482240133912e+01°)
1.10E+03,(-2.68244437199850e+01dB,8.73875322339023e+01°)
1.12E+03,(-2.48660128855420e+01dB,8.67261533256521e+01°)
1.15E+03,(-2.32680009410000e+01dB,8.60639170901006e+01°)
1.17E+03,(-2.19178645517206e+01dB,8.54006556333061e+01°)
1.20E+03,(-2.07486932633737e+01dB,8.47362038337886e+01°)
1.23E+03,(-1.97174548462944e+01dB,8.40703998118168e+01°)
1.26E+03,(-1.87948349806965e+01dB,8.34030854001600e+01°)
1.29E+03,(-1.79599654111088e+01dB,8.27341066162600e+01°)
1.32E+03,(-1.71974643060345e+01dB,8.20633141356751e+01°)
1.35E+03,(-1.64956694191992e+01dB,8.13905637665343e+01°)
1.38E+03,(-1.58455299618411e+01dB,8.07157169246175e+01°)
1.41E+03,(-1.52398828238718e+01dB,8.00386411085380e+01°)
1.45E+03,(-1.46729634911378e+01dB,7.93592103743642e+01°)
1.48E+03,(-1.41400658634614e+01dB,7.86773058088588e+01°)
1.51E+03,(-1.36372996760337e+01dB,7.79928160003548e+01°)
1.55E+03,(-1.31614137290769e+01dB,7.73056375061190e+01°)
1.58E+03,(-1.27096645941420e+01dB,7.66156753148805e+01°)
1.62E+03,(-1.22797174358425e+01dB,7.59228433030252e+01°)
1.66E+03,(-1.18695699541913e+01dB,7.52270646827805e+01°)
1.70E+03,(-1.14774932608013e+01dB,7.45282724405364e+01°)
1.74E+03,(-1.11019853510433e+01dB,7.38264097632757e+01°)
1.78E+03,(-1.07417340774299e+01dB,7.31214304509196e+01°)
1.82E+03,(-1.03955873814755e+01dB,7.24132993122325e+01°)
1.86E+03,(-1.00625291353299e+01dB,7.17019925417858e+01°)
1.91E+03,(-9.74165936526072e+00dB,7.09874980753437e+01°)
1.95E+03,(-9.43217793143065e+00dB,7.02698159209230e+01°)
2.00E+03,(-9.13337095860418e+00dB,6.95489584626815e+01°)
2.04E+03,(-8.84459947472631e+00dB,6.88249507347226e+01°)
2.09E+03,(-8.56528983532930e+00dB,6.80978306618654e+01°)
2.14E+03,(-8.29492560289697e+00dB,6.73676492644143e+01°)
2.19E+03,(-8.03304061968681e+00dB,6.66344708239941e+01°)
2.24E+03,(-7.77921306577634e+00dB,6.58983730075745e+01°)
2.29E+03,(-7.53306033535251e+00dB,6.51594469469111e+01°)
2.34E+03,(-7.29423459646901e+00dB,6.44177972707739e+01°)
2.40E+03,(-7.06241892482979e+00dB,6.36735420875208e+01°)
2.45E+03,(-6.83732392222739e+00dB,6.29268129158023e+01°)
2.51E+03,(-6.61868474627024e+00dB,6.21777545614590e+01°)
2.57E+03,(-6.40625849087911e+00dB,6.14265249389893e+01°)
2.63E+03,(-6.19982186740189e+00dB,6.06732948363232e+01°)
2.69E+03,(-5.99916914461349e+00dB,5.99182476220339e+01°)
2.75E+03,(-5.80411031273448e+00dB,5.91615788945526e+01°)
2.82E+03,(-5.61446944223111e+00dB,5.84034960734146e+01°)
2.88E+03,(-5.43008321279382e+00dB,5.76442179330532e+01°)
2.95E+03,(-5.25079959172074e+00dB,5.68839740801686e+01°)
3.02E+03,(-5.07647664410898e+00dB,5.61230043762199e+01°)
3.09E+03,(-4.90698145989820e+00dB,5.53615583071168e+01°)
3.16E+03,(-4.74218918501336e+00dB,5.45998943027139e+01°)
3.24E+03,(-4.58198214569381e+00dB,5.38382790092246e+01°)
3.31E+03,(-4.42624905663565e+00dB,5.30769865181679e+01°)
3.39E+03,(-4.27488430486310e+00dB,5.23162975559333e+01°)
3.47E+03,(-4.12778730232487e+00dB,5.15564986384784e+01°)
3.55E+03,(-3.98486190111594e+00dB,5.07978811960676e+01°)
3.63E+03,(-3.84601586598213e+00dB,5.00407406732992e+01°)
3.72E+03,(-3.71116039939798e+00dB,4.92853756099511e+01°)
3.80E+03,(-3.58020971503723e+00dB,4.85320867083964e+01°)
3.89E+03,(-3.45308065589537e+00dB,4.77811758934970e+01°)
3.98E+03,(-3.32969235369111e+00dB,4.70329453709645e+01°)
4.07E+03,(-3.20996592647868e+00dB,4.62876966901979e+01°)
4.17E+03,(-3.09382421165622e+00dB,4.55457298175433e+01°)
4.27E+03,(-2.98119153176692e+00dB,4.48073422258004e+01°)
4.37E+03,(-2.87199349066577e+00dB,4.40728280055988e+01°)
4.47E+03,(-2.76615679777264e+00dB,4.33424770040113e+01°)
4.57E+03,(-2.66360911825783e+00dB,4.26165739954506e+01°)
4.68E+03,(-2.56427894711398e+00dB,4.18953978895212e+01°)
4.79E+03,(-2.46809550516251e+00dB,4.11792209800807e+01°)
4.90E+03,(-2.37498865512700e+00dB,4.04683082393051e+01°)
5.01E+03,(-2.28488883598320e+00dB,3.97629166600590e+01°)
5.13E+03,(-2.19772701386827e+00dB,3.90632946493637e+01°)
5.25E+03,(-2.11343464790167e+00dB,3.83696814752208e+01°)
5.37E+03,(-2.03194366933943e+00dB,3.76823067685214e+01°)
5.50E+03,(-1.95318647255243e+00dB,3.70013900812328e+01°)
5.62E+03,(-1.87709591638951e+00dB,3.63271405015340e+01°)
5.75E+03,(-1.80360533455705e+00dB,3.56597563260640e+01°)
5.89E+03,(-1.73264855372030e+00dB,3.49994247889622e+01°)
6.03E+03,(-1.66415991810575e+00dB,3.43463218469262e+01°)
6.17E+03,(-1.59807431946021e+00dB,3.37006120190885e+01°)
6.31E+03,(-1.53432723129963e+00dB,3.30624482801290e+01°)
6.46E+03,(-1.47285474645874e+00dB,3.24319720046950e+01°)
6.61E+03,(-1.41359361703139e+00dB,3.18093129608978e+01°)
6.76E+03,(-1.35648129586944e+00dB,3.11945893503921e+01°)
6.92E+03,(-1.30145597888639e+00dB,3.05879078923317e+01°)
7.08E+03,(-1.24845664748759e+00dB,2.99893639483174e+01°)
7.24E+03,(-1.19742311052441e+00dB,2.93990416853249e+01°)
7.41E+03,(-1.14829604524141e+00dB,2.88170142735049e+01°)
7.59E+03,(-1.10101703675576e+00dB,2.82433441156994e+01°)
7.76E+03,(-1.05552861567447e+00dB,2.76780831054959e+01°)
7.94E+03,(-1.01177429351792e+00dB,2.71212729106575e+01°)
8.13E+03,(-9.69698595678170e-01dB,2.65729452788144e+01°)
8.32E+03,(-9.29247091694933e-01dB,2.60331223623659e+01°)
8.51E+03,(-8.90366422684340e-01dB,2.55018170596447e+01°)
8.71E+03,(-8.53004325802019e-01dB,2.49790333694991e+01°)
8.91E+03,(-8.17109655665216e-01dB,2.44647667565864e+01°)
9.12E+03,(-7.82632402697166e-01dB,2.39590045248070e+01°)
9.33E+03,(-7.49523708391539e-01dB,2.34617261964668e+01°)
9.55E+03,(-7.17735877525241e-01dB,2.29729038949111e+01°)
9.77E+03,(-6.87222387374310e-01dB,2.24925027285428e+01°)
1.00E+04,(-6.57937894010920e-01dB,2.20204811743008e+01°)
